roleid,userid,name,occupation,level,exp,moneyall,reputation,type,save_time,mapid,x,y,z,consumption,gender
16,16,"cls0gender0",0,1,0,0,0,0,1539167420,1,200.656464,163.501007,90.218819,0,0
17,16,"cls0gender1",0,1,0,0,0,0,1539167509,1,204.676605,163.501007,73.366547,0,1
18,16,"cls33gender0",33,1,0,0,0,0,1316394895,23,248.052689,375.803711,-428.183624,0,0
19,16,"cls33gender1",33,1,0,0,0,0,1316394922,23,248.042526,375.812378,-428.672485,0,1
20,16,"cls39gender0",39,1,0,0,0,0,1316394949,23,248.082840,375.800903,-427.937531,0,0
21,16,"cls39gender1",39,1,0,0,0,0,1316394975,23,247.965103,375.814850,-428.288269,0,1
22,16,"cls45gender0",45,1,0,0,0,0,1316395002,23,247.021744,375.801819,-428.048309,0,0
23,16,"cls45gender1",45,1,0,0,0,0,1316395029,23,247.424530,375.800995,-427.279938,0,1
0,0,"",0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0
0,0,"",0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0
0,0,"",0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0
0,0,"",0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0
0,0,"",0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0
0,0,"",0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0
0,0,"",0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0
0,0,"",0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0
32,32,"cls51gender0",51,1,0,0,0,0,1316395063,23,247.190979,375.808289,-428.424164,0,0
33,32,"cls51gender1",51,1,0,0,0,0,1316395084,23,247.136444,375.804932,-428.253876,0,1
34,32,"cls96gender0",96,1,0,0,0,0,1316395112,23,247.377136,375.800995,-427.099396,0,0
35,32,"cls96gender1",96,1,0,0,0,0,1316395184,23,248.075790,375.800995,-427.298370,0,1
36,32,"cls56gender0",56,1,0,0,0,0,1347885542,23,247.651123,375.800323,-426.902954,0,0
37,32,"cls56gender1",56,1,0,0,0,0,1347885583,23,247.834076,375.800995,-427.031158,0,1
1025,32,"lanÉ«",17,150,0,979006004,0,1,1286214698,1,177.167206,163.509995,113.239594,0,0
1040,256,"À¶se",17,150,0,923252962,0,1,1428837027,1,198.756439,163.501007,113.624237,0,1
1056,48,"lanse",6,104,38254640,188887500,0,1,1337488972,1,206.631439,163.501007,72.803665,0,0
1057,48,"ËÀÍöÉ±ÊÖ",45,6,740,22,0,0,1334462454,23,236.001740,377.300995,-429.647888,0,0
1072,144,"11",0,15,0,150000000,0,1,1286142022,1,179.956573,163.510223,121.561310,0,0
1073,144,"uuuu",17,150,0,150000000,0,1,1286212355,1,160.990677,163.510010,141.051666,0,0
1074,144,"u8",17,150,0,150000000,0,1,1286212359,1,160.990677,163.510010,141.051666,0,0
1075,144,"u88",17,150,0,150000000,0,1,1286212361,1,160.990677,163.510010,141.051666,0,0
1076,144,"u888",17,150,0,150000000,0,1,1286212363,1,160.990677,163.510010,141.051666,0,0
1077,144,"u8888",17,150,0,150000000,0,1,1286212365,1,160.990677,163.510010,141.051666,0,0
1078,144,"u88888",17,150,0,150000000,0,1,1286212369,1,160.990677,163.510010,141.051666,0,0
1079,144,"u8888888",17,150,0,150000000,0,1,1286212372,1,160.990677,163.510010,141.051666,0,0
1088,64,"9",17,150,0,149999850,0,1,1385115695,1,162.872330,163.501007,136.426315,0,0
1089,64,"10",17,150,0,150000000,0,1,1286212009,1,160.990677,163.510010,141.051666,0,0
